#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_002000805.1.fna	NZ_CP014435.1	39127	41133	-	mecA_6	1-2007/2007	===============	0/0	100	100	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_002000805.1.fna	NZ_CP014435.1	1608297	1608794	+	dfrG_1	1-498/498	===============	0/0	100	100	resfinder	AB205645	dfrG	Trimethoprim
fasta_files/GCF_002000805.1.fna	NZ_CP014437.1	1861	2655	+	aph(3')-III_1	1-795/795	===============	0/0	100	100	resfinder	M26832	aph(3')-III	Amikacin
fasta_files/GCF_002000805.1.fna	NZ_CP014437.1	8049	8936	+	blaZ_79	1-888/888	===============	0/0	100	99.89	resfinder	KU607584	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_002000805.1.fna	NZ_CP014437.1	19912	20811	-	mph(C)_2	1-900/900	===============	0/0	100	100	resfinder	AF167161	mph(C)	Erythromycin;Spiramycin;Telithromycin
fasta_files/GCF_002000805.1.fna	NZ_CP014437.1	20910	22376	-	msr(A)_1	1-1467/1467	===============	0/0	100	98.98	resfinder	X52085	msr(A)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_024204825.1.fna	NZ_CP093188.1	37279	39285	-	mecA_8	1-2007/2007	===============	0/0	100	100	resfinder	NC_007168	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_024204825.1.fna	NZ_CP093188.1	218400	218828	+	fosB_4	1-429/429	===============	0/0	100	99.53	resfinder	CP000029	fosB	Fosfomycin
fasta_files/GCF_024204825.1.fna	NZ_CP093188.1	952425	953322	-	blaZ_29	3-900/900	===============	0/0	99.78	99	resfinder	JDXN01000019	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_029625375.1.fna	NZ_CP121204.1	46908	48914	-	mecA_8	1-2007/2007	===============	0/0	100	100	resfinder	NC_007168	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_029625375.1.fna	NZ_CP121204.1	60897	62276	+	tet(K)_1	1-1380/1380	===============	0/0	100	100	resfinder	U38656	tet(K)	Doxycycline;Tetracycline
fasta_files/GCF_029625375.1.fna	NZ_CP121204.1	395848	396486	+	fusC_1	1-639/639	===============	0/0	100	99.84	resfinder	KF527883	fusC	Fusidic_acid
fasta_files/GCF_029625375.1.fna	NZ_CP121204.1	2673617	2674504	+	blaZ_78	1-888/888	===============	0/0	100	99.66	resfinder	KU607301	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_029625375.1.fna	NZ_CP121204.1	2676852	2678291	-	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100	100	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_029457635.1.fna	NZ_CP120426.1	677499	677927	-	fosB_4	1-429/429	===============	0/0	100	99.53	resfinder	CP000029	fosB	Fosfomycin
fasta_files/GCF_029457635.1.fna	NZ_CP120426.1	851237	853243	+	mecA_6	1-2007/2007	===============	0/0	100	100	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_029457635.1.fna	NZ_CP120426.1	2014494	2015933	-	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100	100	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin
fasta_files/GCF_029457635.1.fna	NZ_CP120426.1	2549966	2550853	+	blaZ_138	1-888/888	===============	0/0	100	99.78	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_029457635.1.fna	NZ_CP120426.1	2569672	2570313	-	fusB_1	1-642/642	===============	0/0	100	100	resfinder	AY373761	fusB	Fusidic_acid
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_001640925.1.fna	NZ_CP013955.1	40818	41588	-	aadD_1	1-771/771	===============	0/0	100	99.74	resfinder	AF181950	aadD	Amikacin;Tobramycin
fasta_files/GCF_001640925.1.fna	NZ_CP013955.1	44911	46917	-	mecA_6	1-2007/2007	===============	0/0	100	100	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_001640925.1.fna	NZ_CP013955.1	55779	56510	+	erm(A)_1	1-732/732	===============	0/0	100	100	resfinder	X03216	erm(A)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_001640925.1.fna	NZ_CP013955.1	56636	57418	-	ant(9)-Ia_1	1-783/783	===============	0/0	100	100	resfinder	X02588	ant(9)-Ia	
fasta_files/GCF_001640925.1.fna	NZ_CP013955.1	443668	445586	-	tet(M)_7	1-1920/1920	========/======	1-Jan	99.95	99.95	resfinder	FN433596	tet(M)	Doxycycline;Tetracycline;Minocycline
fasta_files/GCF_001640925.1.fna	NZ_CP013955.1	1830358	1831089	+	erm(A)_1	1-732/732	===============	0/0	100	100	resfinder	X03216	erm(A)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_001640925.1.fna	NZ_CP013955.1	1831215	1831997	-	ant(9)-Ia_1	1-783/783	===============	0/0	100	100	resfinder	X02588	ant(9)-Ia	
fasta_files/GCF_001640925.1.fna	NZ_CP013956.1	6097	6984	-	blaZ_79	1-888/888	===============	0/0	100	99.78	resfinder	KU607584	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_030252735.1.fna	NZ_CP127019.1	73757	75762	+	mecA_6	1-2007/2007	========/======	1-Jan	99.95	99.85	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_030252735.1.fna	NZ_CP127019.1	87514	88245	+	erm(A)_1	1-732/732	===============	0/0	100	100	resfinder	X03216	erm(A)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_030252735.1.fna	NZ_CP127019.1	88371	89153	-	ant(9)-Ia_1	1-783/783	===============	0/0	100	100	resfinder	X02588	ant(9)-Ia	
fasta_files/GCF_030252735.1.fna	NZ_CP127019.1	489598	491517	-	tet(M)_7	1-1920/1920	===============	0/0	100	100	resfinder	FN433596	tet(M)	Doxycycline;Tetracycline;Minocycline
fasta_files/GCF_030252735.1.fna	NZ_CP127019.1	501260	501757	-	dfrG_1	1-498/498	===============	0/0	100	100	resfinder	AB205645	dfrG	Trimethoprim
fasta_files/GCF_030252735.1.fna	NZ_CP127019.1	1828628	1829359	+	erm(A)_1	1-732/732	===============	0/0	100	100	resfinder	X03216	erm(A)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_030252735.1.fna	NZ_CP127019.1	1829485	1830267	-	ant(9)-Ia_1	1-783/783	===============	0/0	100	100	resfinder	X02588	ant(9)-Ia	
fasta_files/GCF_030252735.1.fna	NZ_CP127019.1	2259121	2260560	-	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100	99.93	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin
fasta_files/GCF_030252735.1.fna	NZ_CP127019.1	2263802	2264596	-	aph(3')-III_1	1-795/795	===============	0/0	100	100	resfinder	M26832	aph(3')-III	Amikacin
fasta_files/GCF_030252735.1.fna	NZ_CP127019.1	2930558	2931445	+	blaZ_78	1-888/888	===============	0/0	100	99.66	resfinder	KU607301	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_046741935.1.fna	NZ_CP123127.1	10168	11055	+	blaZ_79	1-888/888	===============	0/0	100	99.21	resfinder	KU607584	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_048568385.1.fna	NZ_CP183796.1	1523199	1523696	-	dfrG_1	1-498/498	===============	0/0	100	100	resfinder	AB205645	dfrG	Trimethoprim
fasta_files/GCF_048568385.1.fna	NZ_CP183798.1	26325	27791	-	msr(A)_1	1-1467/1467	===============	0/0	100	99.52	resfinder	X52085	msr(A)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_048568385.1.fna	NZ_CP183799.1	9551	10321	-	aadD_1	1-771/771	===============	0/0	100	99.74	resfinder	AF181950	aadD	Amikacin;Tobramycin
fasta_files/GCF_048568385.1.fna	NZ_CP183799.1	23050	24517	+	msr(A)_1	1-1467/1467	========/======	1-Jan	100	99.11	resfinder	X52085	msr(A)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_048568385.1.fna	NZ_CP183799.1	28514	29401	+	blaZ_79	1-888/888	===============	0/0	100	97.64	resfinder	KU607584	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_048568385.1.fna	NZ_CP183799.1	30805	32244	-	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100	100	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_042608545.1.fna	NZ_CP170232.1	863	1633	+	aadD_1	1-771/771	===============	0/0	100	99.74	resfinder	AF181950	aadD	Amikacin;Tobramycin
fasta_files/GCF_042608545.1.fna	NZ_CP170232.1	4288	5058	+	aadD_1	1-771/771	===============	0/0	100	99.74	resfinder	AF181950	aadD	Amikacin;Tobramycin
fasta_files/GCF_042608545.1.fna	NZ_CP170233.1	403	1137	+	erm(T)_2	1-735/735	===============	0/0	100	100	resfinder	AY894138	erm(T)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_042608545.1.fna	NZ_CP170233.1	1781	3157	-	tet(L)_2	1-1377/1377	===============	0/0	100	99.93	resfinder	M29725	tet(L)	Doxycycline;Tetracycline
fasta_files/GCF_042608545.1.fna	NZ_CP170235.1	2046366	2047253	-	blaZ_138	1-888/888	===============	0/0	100	99.78	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_038096305.1.fna	NZ_CP151138.1	39705	41711	-	mecA_6	1-2007/2007	===============	0/0	100	100	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_038096305.1.fna	NZ_CP151138.1	1695204	1696631	+	fexA_1	1-1428/1428	===============	0/0	100	99.72	resfinder	AJ549214	fexA	Chloramphenicol;Florfenicol
fasta_files/GCF_038096305.1.fna	NZ_CP151139.1	9096	9995	-	blaZ_29	1-900/900	===============	0/0	100	100	resfinder	JDXN01000019	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_003595405.1.fna	NZ_CP014368.1	39127	41133	-	mecA_6	1-2007/2007	===============	0/0	100	100	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_003595405.1.fna	NZ_CP014368.1	1608285	1608782	+	dfrG_1	1-498/498	===============	0/0	100	100	resfinder	AB205645	dfrG	Trimethoprim
fasta_files/GCF_003595405.1.fna	NZ_CP014370.1	1861	2655	+	aph(3')-III_1	1-795/795	===============	0/0	100	100	resfinder	M26832	aph(3')-III	Amikacin
fasta_files/GCF_003595405.1.fna	NZ_CP014370.1	8049	8936	+	blaZ_79	1-888/888	===============	0/0	100	99.89	resfinder	KU607584	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_003595405.1.fna	NZ_CP014370.1	19912	20811	-	mph(C)_2	1-900/900	===============	0/0	100	100	resfinder	AF167161	mph(C)	Erythromycin;Spiramycin;Telithromycin
fasta_files/GCF_003595405.1.fna	NZ_CP014370.1	20910	22376	-	msr(A)_1	1-1467/1467	===============	0/0	100	98.98	resfinder	X52085	msr(A)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
